Area,Address,City,County,Price
5042,14928 WASHBURN Street,Detroit,Wayne,"$10,000 "
5042,9600 HUBBELL Street,Detroit,Wayne,"$10,000 "
5051,3055 E Outer Drive,Detroit,Wayne,"$10,000 "
5052,5877 FRENCH Road,Detroit,Wayne,"$10,000 "
5054,19561 WALTHAM Street,Detroit,Wayne,"$10,000 "
5051,20205 KLINGER Street,Detroit,Wayne,"$10,000 "
5033,22161 ULSTER Street,Detroit,Wayne,"$10,000 "
5042,16239 LITTLEFIELD Street,Detroit,Wayne,"$10,000 "
5051,18830 MAINE,DETROIT,Wayne,"$10,000 "
5034,12936 METTETAL Street,Detroit,Wayne,"$10,000 "
5055,20209 Moross,Detroit,Wayne,"$10,000 "
5043,2688 LAWRENCE Street,Detroit,Wayne,"$10,000 "
5052,7700 HENDRIE Street,Detroit,Wayne,"$10,000 "
5043,16219 NORMANDY Street,Detroit,Wayne,"$10,000 "
5041,19974 PINEHURST Street,Detroit,Wayne,"$10,000 "
5042,12787 STRATHMOOR Street,Detroit,Wayne,"$10,000 "
5041,19928 SANTA BARBARA,Detroit,Wayne,"$10,000 "
5092,8247 HEYDEN Street,Detroit,Wayne,"$10,000 "
5032,20001 EVERGREEN Road,Detroit,Wayne,"$10,000 "
5042,15784 STEEL Street,Detroit,Wayne,"$10,000 "
5043,16623 PRINCETON Street,Detroit,Wayne,"$10,000 "
5032,19315 PREVOST Street,Detroit,Wayne,"$10,000 "
5092,6720 ROSEMONT Avenue,Detroit,Wayne,"$10,000 "
5042,8885 LITTLEFIELD Street,Detroit,Wayne,"$10,000 "
5055,5285 BALFOUR Road,Detroit,Wayne,"$10,000 "
5066,656 LAKEWOOD Street,Detroit,Wayne,"$10,000 "
5054,16712 BRINGARD Drive,Detroit,Wayne,"$10,000 "
5055,4700 CADIEUX Road,Detroit,Wayne,"$10,000 "
5051,19600 WEXFORD Street,Detroit,Wayne,"$10,000 "
5092,6730 MANSFIELD Street,Detroit,Wayne,"$10,000 "
5101,1612 DRAGOON Street,Detroit,Wayne,"$10,000 "
5042,16904 WASHBURN Street,Detroit,Wayne,"$10,000 "
5042,8574 KENTUCKY Street,Detroit,Wayne,"$10,000 "
5055,5538 CADIEUX Road,Detroit,Wayne,"$10,000 "
5051,19358 WEXFORD Street,Detroit,Wayne,"$10,000 "
5041,19937 KENTUCKY,Detroit,Wayne,"$10,000 "
5051,18061 WEXFORD Street,Detroit,Wayne,"$10,000 "
5042,15760 MANOR Street,Detroit,Wayne,"$10,000 "
5043,3780 RICHTON Street,Detroit,Wayne,"$10,000 "
5042,14877 ROSELAWN Street,Detroit,Wayne,"$10,000 "
5032,17345 FENTON ST,Detroit,Wayne,"$10,000 "
5042,9180 HARTWELL,Detroit,Wayne,"$10,000 "
5034,9650 BRAMELL,Detroit,Wayne,"$10,000 "
5055,11013 WHITEHILL Street,Detroit,Wayne,"$10,000 "
5032,19421 BURT Road,Detroit,Wayne,"$10,000 "
5033,15778 ASBURY Park,Detroit,Wayne,"$10,000 "
5032,20250 BILTMORE Street,Detroit,Wayne,"$10,000 "
5101,8799 HOMER Street,Detroit,Wayne,"$10,000 "
5033,16216 AVON Avenue,Detroit,Wayne,"$10,000 "
5101,9241 HOMER Street,Detroit,Wayne,"$10,000 "
5054,11561 COLLEGE Street,Detroit,Wayne,"$10,000 "
5051,20451 ROGGE Street,Detroit,Wayne,"$10,000 "
5055,10985 WORDEN Street,Detroit,Wayne,"$10,000 "
5032,19167 WESTBROOK Street,Detroit,Wayne,"$10,000 "
5042,14108 MARK TWAIN Street,Detroit,Wayne,"$10,000 "
5042,11335 WHITCOMB Street,Detroit,Wayne,"$10,000 "
5042,13639 THORNTON Street,Detroit,Wayne,"$10,000 "
5032,19400 NORTHROP Street,Detroit,Wayne,"$10,000 "
5054,17827 BRADFORD Street,Detroit,Wayne,"$10,000 "
5051,18165 BRINKER Street,Detroit,Wayne,"$10,000 "
5041,14313 CURTIS Street,Detroit,Wayne,"$10,000 "
5054,17320 BELAND Street,Detroit,Wayne,"$10,000 "
5055,4326 HARVARD Road,Detroit,Wayne,"$10,000 "
5051,20419 CARRIE Street,Detroit,Wayne,"$10,000 "
5033,10496 W OUTER Drive,Detroit,Wayne,"$10,000 "
5042,9419 Pinehurst Street,Detroit,Wayne,"$10,000 "
5032,18263 ASBURY Park,Detroit,Wayne,"$10,000 "
5051,8300 SIRRON Street,Detroit,Wayne,"$10,000 "
5042,9100 PREST Street,Detroit,Wayne,"$10,000 "
5032,18219 SAINT MARYS Street,Detroit,Wayne,"$10,000 "
5055,5744 MARSEILLES Street,Detroit,Wayne,"$10,000 "
5032,17344 SALEM Street,Detroit,Wayne,"$10,000 "
5032,20058 WINSTON Street,Detroit,Wayne,"$10,000 "
5051,20490 MITCHELL Street,Detroit,Wayne,"$10,000 "
5052,5043 PENNSYLVANIA Street,Detroit,Wayne,"$10,000 "
5041,20460 WASHBURN Street,Detroit,Wayne,"$10,000 "
5042,11432 TERRY Street,Detroit,Wayne,"$10,000 "
5041,20171 MENDOTA Street,Detroit,Wayne,"$10,000 "
5055,15813 EASTWOOD Street,Detroit,Wayne,"$10,000 "
5034,9901 WESTWOOD Street,Detroit,Wayne,"$10,000 "
5055,5075 FARMBROOK Street,Detroit,Wayne,"$10,000 "
5054,13901 ROSSINI Drive,Detroit,Wayne,"$10,000 "
5055,9621 E OUTER Drive,Detroit,Wayne,"$10,000 "
5101,1708 LAWNDALE Street,Detroit,Wayne,"$10,000 "
5032,19447 RUTHERFORD Street,Detroit,Wayne,"$10,000 "
5054,13715 LAPPIN Street,Detroit,Wayne,"$10,000 "
5032,22571 PEMBROKE Avenue,Detroit,Wayne,"$10,000 "
5041,18614 GRIGGS Street,Detroit,Wayne,"$10,000 "
5042,14035 WHITCOMB Street,Detroit,Wayne,"$10,000 "
5054,20560 WESTPHALIA Street,Detroit,Wayne,"$10,000 "
5042,15877 TRACEY Street,Detroit,Wayne,"$10,000 "
5101,5707 LUMLEY Street,Detroit,Wayne,"$10,000 "
5042,15515 INDIANA Street,Detroit,Wayne,"$10,000 "
5051,7620 E BRENTWOOD Street,Detroit,Wayne,"$10,000 "
5051,20019 GODDARD Street,Detroit,Wayne,"$10,000 "
5041,18143 GREELEY Street,Detroit,Wayne,"$10,000 "
5041,19950 MARX Street,Detroit,Wayne,"$10,000 "
5092,6898 METTETAL Street,Detroit,Wayne,"$10,000 "
5055,10718 LANARK Street,Detroit,Wayne,"$10,000 "
5051,6870 Iowa,Detroit,Wayne,"$10,000 "
5055,4830 COURVILLE Street,Detroit,Wayne,"$10,000 "
5033,14451 PREVOST Street,Detroit,Wayne,"$10,000 "
5055,5958 University,Detroit,Wayne,"$10,000 "
5041,19143 SAN JUAN Drive,Detroit,Wayne,"$10,000 "
5034,12961 ABINGTON Avenue,Detroit,Wayne,"$10,000 "
5092,6375 Rutland Street,Detroit,Wayne,"$10,000 "
5055,9211 Harvard Road,Detroit,Wayne,"$10,000 "
5032,18260 FERGUSON Street,Detroit,Wayne,"$10,001 "
5055,11209 LAKEPOINTE Street,Detroit,Wayne,"$10,001 "
5032,20045 WINTHROP Street,Detroit,Wayne,"$10,003 "
5034,12955 DALE Street,Detroit,Wayne,"$10,003 "
5043,2680 BURLINGAME Street,Detroit,Wayne,"$10,005 "
