Area,Address,City,County,Price,full_address,latitude,longitude
5041,17280 Pontchartrain Boulevard N,Detroit,Wayne,"$165,000","17280 Pontchartrain Boulevard N, Detroit, Wayne",42.419944,-83.1174963
5101,3044 COCHRANE Street,Detroit,Wayne,"$165,000","3044 COCHRANE Street, Detroit, Wayne",42.3387271,-83.0733163
5041,19567 STRATFORD Road,Detroit,Wayne,"$166,000","19567 STRATFORD Road, Detroit, Wayne",42.437198,-83.1362461
5041,17567 Wildemere,Detroit,Wayne,"$166,000","17567 Wildemere, Detroit, Wayne",42.4220157,-83.1333556
5033,15493 PIEDMONT Street,Detroit,Wayne,"$169,000","15493 PIEDMONT Street, Detroit, Wayne",42.4039664,-83.23059959999999
5033,16823 WESTMORELAND,Detroit,Wayne,"$169,000","16823 WESTMORELAND, Detroit, Wayne",42.4138292,-83.236008
5041,19025 WILDEMERE Street,Detroit,Wayne,"$169,900","19025 WILDEMERE Street, Detroit, Wayne",42.4313832,-83.1337952
5041,17126 PARKSIDE Street,Detroit,Wayne,"$170,000","17126 PARKSIDE Street, Detroit, Wayne",42.4177633,-83.1313507
5066,561 NEWPORT Street,Detroit,Wayne,"$170,000","561 NEWPORT Street, Detroit, Wayne",42.3674481,-82.9440639
5101,1438 17TH Street,Detroit,Wayne,"$170,000","1438 17TH Street, Detroit, Wayne",42.3242308,-83.0759607
5033,15908 GLASTONBURY Avenue,Detroit,Wayne,"$170,000","15908 GLASTONBURY Avenue, Detroit, Wayne",42.4076042,-83.2221367
5041,19023 MUIRLAND Street,Detroit,Wayne,"$170,000","19023 MUIRLAND Street, Detroit, Wayne",42.4313854,-83.1350418
5041,17556 MUIRLAND Street,Detroit,Wayne,"$170,000","17556 MUIRLAND Street, Detroit, Wayne",42.4218684,-83.13400089999999
5041,19676 RENFREW Road,Detroit,Wayne,"$171,400","19676 RENFREW Road, Detroit, Wayne",42.4386837,-83.1344718
5041,18255 WILDEMERE Street,Detroit,Wayne,"$172,000","18255 WILDEMERE Street, Detroit, Wayne",42.4254544,-83.13351019999999
5041,17516 MUIRLAND Street,Detroit,Wayne,"$172,000","17516 MUIRLAND Street, Detroit, Wayne",42.4212776,-83.1339678
